component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value
revenue,Total,Total,1983-02-01,FALSE,TRUE,1987,5,822
revenue,Total,Total,1983-02-01,FALSE,TRUE,1988,6,878
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1982,0,297.744
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1983,1,286
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1984,2,295
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1985,3,321
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1986,4,346
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1987,5,372
revenue,Individual Income Taxes,Individual Income Taxes,1983-02-01,FALSE,TRUE,1988,6,400
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1982,0,49.207
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1983,1,40
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1984,2,56
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1985,3,65
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1986,4,74
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1987,5,83
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-02-01,FALSE,TRUE,1988,6,88
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1982,0,201.498
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1983,1,212
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1984,2,232
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1985,3,258
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1986,4,283
