outlay_category,outlay_subcategory,changes_baseline_date,baseline_name,change_category,projected_fiscal_year,changes_projected_outlay
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,1996,-3.797
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,1997,-6.553
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,1998,-8.990
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,1999,-11.340
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2000,-13.719
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2001,-16.604
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2002,-19.655
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2003,-23.308
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2004,-27.791
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2005,-32.631
Mandatory,Medicaid,1997-01-01,January 1997 Baseline,Technical,2006,-38.002
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,1997,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,1998,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,1999,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2000,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2001,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2002,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2003,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2004,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2005,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2006,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2007,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,1997,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,1998,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,1999,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2000,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2001,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2002,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2003,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2004,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2005,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2006,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2007,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,1997,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,1998,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,1999,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2000,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2001,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2002,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2003,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2004,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2005,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2006,0.000
Mandatory,Medicaid,1997-03-01,March 1997 Baseline (Pre-Policy),Technical,2007,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,1997,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,1998,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,1999,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2000,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2001,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2002,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2003,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2004,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2005,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2006,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Economic,2007,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,1997,0.000
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,1998,0.637
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,1999,-0.224
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2000,-1.401
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2001,-2.634
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2002,-3.597
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2003,4.452
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2004,-5.072
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2005,-5.814
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2006,-6.672
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Legislative,2007,-7.219
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,1997,-2.759
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,1998,-2.906
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,1999,-3.050
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2000,-3.217
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2001,-3.393
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2002,-3.593
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2003,-12.726
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2004,-4.059
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2005,-4.333
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2006,-4.639
Mandatory,Medicaid,1997-09-01,September 1997 Baseline,Technical,2007,-5.649
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,1997,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,1998,0.150
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,1999,0.295
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2000,0.328
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2001,0.277
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2002,0.311
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2003,0.408
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2004,0.512
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2005,0.634
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2006,0.669
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Economic,2007,0.713
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,1997,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,1998,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,1997,-0.288
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,1998,-2.683
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,1999,-2.222
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2000,-3.557
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2001,-4.448
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2002,-6.013
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2003,-7.255
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2004,-7.705
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2005,-8.449
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2006,-9.341
Mandatory,Medicaid,1998-01-01,January 1998 Baseline,Technical,2007,-10.114
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,1998,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,1999,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2000,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2001,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2002,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2003,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2004,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2005,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2006,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2007,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Economic,2008,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,1998,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Legislative,2008,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,1998,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,1999,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2000,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2001,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2002,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2003,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2004,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2005,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2006,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2007,0.000
Mandatory,Medicaid,1998-03-01,March 1998 Baseline,Technical,2008,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,1998,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,1999,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2000,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2001,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2002,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2003,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2004,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2005,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2006,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2007,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Economic,2008,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,1998,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Legislative,2008,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,1998,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,1999,0.200
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2000,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2001,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2002,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2003,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2004,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2005,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2006,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2007,0.000
Mandatory,Medicaid,1998-08-01,August 1998 Baseline,Technical,2008,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,1998,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,1999,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2000,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2001,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2002,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2003,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2004,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2005,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2006,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2007,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Economic,2008,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,1998,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Legislative,2008,0.000
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,1998,0.728
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,1999,-0.489
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2000,2.301
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2001,3.206
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2002,5.111
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2003,6.457
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2004,7.902
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2005,9.051
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2006,10.756
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2007,12.595
Mandatory,Medicaid,1999-01-01,January 1999 Baseline,Technical,2008,14.785
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,1999,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2000,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2001,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2002,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2003,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2004,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2005,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2006,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2007,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2008,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Economic,2009,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2008,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Legislative,2009,0.000
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,1999,-0.645
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2000,-0.737
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2001,-0.959
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2002,-1.075
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2003,-1.126
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2004,-1.169
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2005,-1.292
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2006,-1.478
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2007,-1.589
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2008,-1.723
Mandatory,Medicaid,1999-04-01,April 1999 Baseline,Technical,2009,-1.850
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,1999,0.000
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2000,0.000
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2001,0.000
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2002,0.000
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2003,-0.008
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2004,-0.018
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2005,-0.028
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2006,-0.038
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2007,-0.049
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2008,-0.061
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Economic,2009,-0.073
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2001,0.683
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2002,0.739
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2003,0.762
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2004,0.694
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2005,0.713
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2006,0.732
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2007,0.754
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2008,0.856
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Legislative,2009,0.881
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,1999,-0.637
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2000,-1.171
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2001,-1.185
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2002,-1.242
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2003,-1.245
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2004,-1.131
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2005,-1.039
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2006,-0.917
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2007,-0.698
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2008,-0.503
Mandatory,Medicaid,1999-07-01,July 1999 Baseline,Technical,2009,-0.257
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,1999,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2000,0.100
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2001,0.217
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2002,0.192
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2003,0.104
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2004,0.149
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2005,0.170
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2006,0.176
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2007,0.186
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2008,0.193
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Economic,2009,0.204
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,1999,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2008,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Legislative,2009,0.000
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,1999,1.195
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2000,-0.008
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2001,-0.028
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2002,0.194
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2003,0.132
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2004,0.074
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2005,0.251
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2006,0.157
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2007,-0.294
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2008,-0.936
Mandatory,Medicaid,2000-01-01,January 2000 Baseline,Technical,2009,-1.512
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2000,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2001,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2002,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2003,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2004,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2005,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2006,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2007,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2008,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2009,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Economic,2010,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2000,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2001,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2002,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2003,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2004,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2005,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2006,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2007,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2008,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2009,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Legislative,2010,0.000
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2000,-0.354
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2001,-0.264
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2002,-0.692
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2003,-0.737
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2004,-0.681
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2005,-0.559
Mandatory,Medicaid,2000-04-01,April 2000 Baseline,Technical,2006,-0.485
